BusinessDate,IssuerDesc,SecurityCode,SecurityDesc,HoldingDirection,CustodianCode,CurrencyCode,Quantity,PriceLocal,PriceBook,UnderlierPriceLocal,UnderlierPriceBook,MktValLocal,MktValBook,AvgCostLocal,AvgCostBook,CostLocal,CostBook,DtdPnlTotal,MtdPnlTotal,YtdPnlTotal,NetExposure,BbergCode,BloombergMarketSectorCode,Cusip,Sedol,Isin,AccrualStartDate,FrequencyCode,Coupon,IssuedDate,Maturity,Strike,ContractSize,ExcerciseType,PutCall,Expiration,ExchangeCode,SecurityTypeCode,SecurityTypeDesc,SectorCode,SectorDesc,GeographyRegionDesc,GicsSectorDesc,Delta,Beta,UnderlierSecurityDesc,FXRate
4/1/2013,ACLC Business Loan Receivables Trust,00086YAS1,ACLC Bus Loan Rec Trust 1999-1 A3 8/15/20,L,BONY,USD,13454000,0.14776428,0.14776428,0,0,1988020.623,1988020.623,82.5581,0,1886525,1886525,469,469,58436.94789,1988020.623,00086YAS1,Corp,00086YAS1,,US00086YAS19,7/15/2013,Monthly,7.385,6/4/1999,8/15/2020,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,Atherton Franchisee Loan Funding,047445AU5,AFLF 1999-A AX,L,BONY,USD,30887000,0.00038108,0.00038108,0,0,11770.41796,11770.41796,1.4102,0,16600,16600,10,10,-2042.99981,11770.41796,047445AU5,Corp,047445AU5,,US047445AU57,7/1/2013,Monthly,0.283928,5/1/1999,3/15/2021,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,JPM,USD,441128,51.56,51.56,0,0,22744559.68,22744559.68,43.9248,0,19376475,19376475,-180468.48,-180468.48,2688146.618,22744559.68,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,NULL,Consumer Discretionary,Consumer Discretionary,North America,Consumer Discretionary,NULL,0.42,,1
4/1/2013,Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,GSCO-US,USD,5608,51.56,51.56,0,0,289148.48,289148.48,45.2951,0,254015,254015,-2299.28,-2299.28,38414.8,289148.48,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,NULL,Consumer Discretionary,Consumer Discretionary,North America,Consumer Discretionary,NULL,0.42,,1
4/1/2013,Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,MSCO,USD,56395,51.56,51.56,0,0,2907726.2,2907726.2,50.0432,0,2822187,2822187,-23121.95,-23121.95,84749.7819,2907726.2,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,NULL,Consumer Discretionary,Consumer Discretionary,North America,Consumer Discretionary,NULL,0.42,,1
4/1/2013,Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,CSFB,USD,5921,51.56,51.56,0,0,305286.76,305286.76,50.6034,0,299623,299623,-2427.61,-2427.61,5486.3986,305286.76,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,NULL,Consumer Discretionary,Consumer Discretionary,North America,Consumer Discretionary,NULL,0.42,,1
4/1/2013,Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,PERS,USD,45448,51.56,51.56,0,0,2343298.88,2343298.88,46.1768,0,2098646,2098646,-18633.68,-18633.68,243232.157,2343298.88,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,NULL,Consumer Discretionary,Consumer Discretionary,North America,Consumer Discretionary,NULL,0.42,,1
4/1/2013,CLGX,CLGX,CORELOGIC INC,L,LEH-SP1,USD,38043,25.43,25.43,0,0,967433.49,967433.49,15.7418,0,598868,598868,-16358.49,-16358.49,-56684.07,967433.49,EQ0010375000001000 ,Equity,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,NULL,Information Technology,Information Technology,North America,,NULL,0.8922,,1
4/1/2013,Captec Franchise Trust,140725AB8,CFT 2000-1 A2,L,BONY,USD,2440400,0.149467738,0.149467738,0,0,364761.0666,364761.0666,100.5446,0,365835,365835,36.626863,36.626863,6458.286133,364761.0666,140725AB8,Corp,140725AB8,,US140725AB88,1753-01-01,NOT SPECIFIED,1,1753-01-01,6/15/2013,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,Captec Franchise Trust,140725AD4,CFT 2000-1 B,L,BONY,USD,1590800,0.94,0.94,0,0,1495352,1495352,93.1483,0,1481805,1481805,360,360,49297.77,1495352,140725AD4,Mtge,140725AD4,B3SGVV8,US140725AD45,7/1/2013,Monthly,8.155,2/1/2000,12/15/2021,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,CNL Funding,12613QAF3,CNLF 1999-1 E,L,BONY,USD,1055000,0.835,0.835,0,0,880925,880925,70.25,0,741138,741138,249,249,27934,880925,12613QAF3,Corp,12613QAF3,,US12613QAF37,7/1/2013,Monthly,8.5,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,CNL Funding,12613QAB2,CNLF 1999-1 A2,L,BONY,USD,106000,0.225568,0.225568,0,0,23910.208,23910.208,101,0,24149,24149,5,5,537.99,23910.208,12613QAB2,Corp,12613QAB2,,US12613QAB23,7/1/2013,Monthly,7.645,11/1/1999,6/18/2014,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
4/1/2013,CNL Funding,12613QAH9,CNLF 1999-1 G,L,BONY,USD,1853100,0.685,0.685,0,0,1269373.5,1269373.5,65.7,0,1217487,1217487,-8827.5,-8827.5,39857,1269373.5,12613QAH9,Mtge,12613QAH9,,US12613QAH92,7/1/2013,Monthly,8.5,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,NULL,Consumer Discretionary,Consumer Discretionary,North America,,NULL,0,,1
