SecurityCode,Date,LastPrice,Return
GOOG US,1/4/2010,619.98,0
GOOG US,1/5/2010,626.75,1.0919707
GOOG US,1/6/2010,623.99,-0.440367
GOOG US,1/7/2010,608.26,-2.5208737
GOOG US,1/8/2010,594.1,-2.3279519
GOOG US,1/11/2010,602.02,1.3331089
GOOG US,1/12/2010,601.11,-0.1511578
GOOG US,1/13/2010,590.48,-1.7683951
GOOG US,1/14/2010,587.09,-0.5741092
GOOG US,1/15/2010,589.85,0.4701153
GOOG US,1/19/2010,580,-1.6699161
GOOG US,1/20/2010,587.62,1.3137931
GOOG US,1/21/2010,580.41,-1.2269834
GOOG US,1/22/2010,582.98,0.4427904
GOOG US,1/25/2010,550.01,-5.6554256
GOOG US,1/26/2010,540,-1.8199669
GOOG US,1/27/2010,542.42,0.4481481
GOOG US,1/28/2010,542.1,-0.0589949
GOOG US,1/29/2010,534.29,-1.4406936
GOOG US,2/1/2010,529.944,-0.8134159
GOOG US,2/2/2010,533.02,0.5804387
GOOG US,2/3/2010,531.12,-0.3564594
GOOG US,2/4/2010,540.82,1.8263293
GOOG US,2/5/2010,526.778,-2.5964276
GOOG US,2/8/2010,531.29,0.8565278
GOOG US,2/9/2010,533.47,0.410322
GOOG US,2/10/2010,536.44,0.5567323
GOOG US,2/11/2010,534.445,-0.3718962
GOOG US,2/12/2010,536.4,0.3658
GOOG US,2/16/2010,533.12,-0.611484
GOOG US,2/17/2010,541.3,1.5343637
GOOG US,2/18/2010,538.207,-0.5714022
GOOG US,2/19/2010,543.22,0.931426
GOOG US,2/22/2010,540.763,-0.4523029
GOOG US,2/23/2010,542.8,0.37669
GOOG US,2/24/2010,535.07,-1.4240973
GOOG US,2/25/2010,531.47,-0.6728092
GOOG US,2/26/2010,526.43,-0.9483132
GOOG US,3/1/2010,526.8,0.0702847
GOOG US,3/2/2010,532.69,1.1180714
GOOG US,3/3/2010,541.06,1.5712703
GOOG US,3/4/2010,545.32,0.7873434
GOOG US,3/5/2010,554.59,1.6999193
GOOG US,3/8/2010,564.21,1.7346148
GOOG US,3/9/2010,562.48,-0.3066234
GOOG US,3/10/2010,560.19,-0.4071256
GOOG US,3/11/2010,576.45,2.9025866
GOOG US,3/12/2010,581.14,0.8136005
GOOG US,3/15/2010,579.54,-0.2753209
GOOG US,3/16/2010,563.18,-2.8229285
GOOG US,3/17/2010,565.2,0.3586775
GOOG US,3/18/2010,565.56,0.0636943
GOOG US,3/19/2010,566.4,0.1485254
GOOG US,3/22/2010,560,-1.1299435
GOOG US,3/23/2010,557.5,-0.4464286
GOOG US,3/24/2010,549,-1.5246637
GOOG US,3/25/2010,557.33,1.5173042
GOOG US,3/26/2010,562.88,0.9958194
GOOG US,3/29/2010,562.69,-0.033755
GOOG US,3/30/2010,562.45,-0.0426523
GOOG US,3/31/2010,566.71,0.7574007
GOOG US,4/1/2010,567.12,0.0723474
GOOG US,4/5/2010,568.8,0.2962336
GOOG US,4/6/2010,571.01,0.3885373
GOOG US,4/7/2010,568.22,-0.4886079
GOOG US,4/8/2010,563.54,-0.8236247
GOOG US,4/9/2010,567.49,0.7009263
GOOG US,4/12/2010,566.22,-0.2237925
GOOG US,4/13/2010,572.73,1.1497298
GOOG US,4/14/2010,586.77,2.4514169
GOOG US,4/15/2010,589,0.3800467
GOOG US,4/16/2010,595.3,1.0696095
GOOG US,4/19/2010,550.145,-7.5852511
GOOG US,4/20/2010,550.1,-8.18E-03
GOOG US,4/21/2010,555.04,0.8980185
GOOG US,4/22/2010,554.3,-0.1333237
GOOG US,4/23/2010,547.06,-1.3061519
GOOG US,4/26/2010,544.99,-0.3783863
GOOG US,4/27/2010,531.64,-2.4495862
GOOG US,4/28/2010,529.06,-0.4852908
GOOG US,4/29/2010,529.19,0.0245719
GOOG US,4/30/2010,532,0.5310002
GOOG US,5/3/2010,525.695,-1.1851504
GOOG US,5/4/2010,530.6,0.9330505
GOOG US,5/5/2010,506.37,-4.5665285
GOOG US,5/6/2010,509.76,0.6694709
GOOG US,5/7/2010,498.67,-2.1755336
GOOG US,5/10/2010,493.14,-1.1089498
GOOG US,5/11/2010,521.65,5.7813197
GOOG US,5/12/2010,509.05,-2.4154126
GOOG US,5/13/2010,505.39,-0.7189863
GOOG US,5/14/2010,510.88,1.0862898
GOOG US,5/17/2010,507.53,-0.6557313
GOOG US,5/18/2010,507.97,0.0866944
GOOG US,5/19/2010,498.37,-1.8898754
GOOG US,5/20/2010,494.43,-0.7905773
GOOG US,5/21/2010,475.01,-3.9277552
GOOG US,5/24/2010,472.05,-0.6231448
GOOG US,5/25/2010,477.16,1.0825124
GOOG US,5/26/2010,477.07,-0.0188616
GOOG US,5/27/2010,475.47,-0.3353806
GOOG US,5/28/2010,490.46,3.15267
GOOG US,6/1/2010,485.63,-0.9847898
GOOG US,6/2/2010,482.37,-0.671293
GOOG US,6/3/2010,493.37,2.2804072
GOOG US,6/4/2010,505.6,2.4788698
GOOG US,6/7/2010,498.72,-1.3607595
GOOG US,6/8/2010,485.52,-2.6467757
GOOG US,6/9/2010,484.78,-0.1524139
GOOG US,6/10/2010,474.02,-2.2195635
GOOG US,6/11/2010,487.01,2.7403907
GOOG US,6/14/2010,488.5,0.3059485
GOOG US,6/15/2010,483.19,-1.087001
GOOG US,6/16/2010,497.99,3.0629773
GOOG US,6/17/2010,501.27,0.6586478
GOOG US,6/18/2010,500.08,-0.237397
GOOG US,6/21/2010,500.03,-1.00E-02
GOOG US,6/22/2010,488.56,-2.2938624
GOOG US,6/23/2010,486.25,-0.4728181
GOOG US,6/24/2010,482.05,-0.8637532
