SecurityCode,Date,LastPrice,Return
SPX,1/4/2010,1115.1,0
SPX,1/5/2010,1132.99,1.6043404
SPX,1/6/2010,1136.52,0.311565
SPX,1/7/2010,1137.14,0.0545525
SPX,1/8/2010,1141.69,0.4001266
SPX,1/11/2010,1144.98,0.2881693
SPX,1/12/2010,1146.98,0.1746755
SPX,1/13/2010,1136.22,-0.9381157
SPX,1/14/2010,1145.68,0.8325852
SPX,1/15/2010,1148.46,0.2426507
SPX,1/19/2010,1136.03,-1.0823189
SPX,1/20/2010,1150.23,1.249967
SPX,1/21/2010,1138.04,-1.059788
SPX,1/22/2010,1116.48,-1.8944853
SPX,1/25/2010,1091.76,-2.2141015
SPX,1/26/2010,1096.78,0.459808
SPX,1/27/2010,1092.17,-0.4203213
SPX,1/28/2010,1097.5,0.4880193
SPX,1/29/2010,1084.53,-1.1817768
SPX,2/1/2010,1073.87,-0.9829143
SPX,2/2/2010,1089.19,1.4266159
SPX,2/3/2010,1103.32,1.2972943
SPX,2/4/2010,1097.28,-0.5474386
SPX,2/5/2010,1063.11,-3.1140639
SPX,2/8/2010,1066.19,0.289716
SPX,2/9/2010,1056.74,-0.8863336
SPX,2/10/2010,1070.52,1.3040104
SPX,2/11/2010,1068.13,-0.223256
SPX,2/12/2010,1078.47,0.968047
SPX,2/16/2010,1075.51,-0.2744629
SPX,2/17/2010,1094.87,1.8000762
SPX,2/18/2010,1099.51,0.4237946
SPX,2/19/2010,1106.75,0.6584751
SPX,2/22/2010,1109.17,0.2186582
SPX,2/23/2010,1108.01,-0.1045827
SPX,2/24/2010,1094.6,-1.2102779
SPX,2/25/2010,1105.24,0.9720446
SPX,2/26/2010,1102.94,-0.2080996
SPX,3/1/2010,1104.49,0.1405335
SPX,3/2/2010,1115.71,1.0158535
SPX,3/3/2010,1118.31,0.2330355
SPX,3/4/2010,1118.79,0.0429219
SPX,3/5/2010,1122.97,0.3736179
SPX,3/8/2010,1138.7,1.4007498
SPX,3/9/2010,1138.5,-0.0175639
SPX,3/10/2010,1140.45,0.171278
SPX,3/11/2010,1145.61,0.452453
SPX,3/12/2010,1150.24,0.4041515
SPX,3/15/2010,1149.99,-0.0217346
SPX,3/16/2010,1150.51,0.0452178
SPX,3/17/2010,1159.46,0.7779159
SPX,3/18/2010,1166.21,0.5821676
SPX,3/19/2010,1165.83,-0.0325842
SPX,3/22/2010,1159.9,-0.5086505
SPX,3/23/2010,1165.81,0.5095267
SPX,3/24/2010,1174.17,0.717098
SPX,3/25/2010,1167.72,-0.5493242
SPX,3/26/2010,1165.73,-0.1704176
SPX,3/29/2010,1166.59,0.0737735
SPX,3/30/2010,1173.22,0.5683231
SPX,3/31/2010,1173.27,4.26E-03
SPX,4/1/2010,1169.43,-0.3272904
