DATE,SECURITY,PX_LAST,PX_VOLUME,CUR_MKT_CAP,DELTA,GAMMA,VEGA,THETA,YLD_YTM_MID,YLD_CUR_MID
2013-10-23,FB US Equity,51.900000,57207154.000000,126393.109400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-22,FB US Equity,52.675000,83203892.000000,128280.476600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-07,FB US Equity,50.515000,57203957.000000,123020.187500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,FB US Equity,51.040000,74446947.000000,124298.734400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-03,FB US Equity,49.183000,82045323.000000,119776.335900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-02,FB US Equity,50.280000,62834429.000000,122447.882800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-01,FB US Equity,50.420000,98113699.000000,122788.828100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-25,FB US Equity,51.950000,45085348.000000,126514.875000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-24,FB US Equity,52.445000,46775185.000000,127720.351600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-21,FB US Equity,53.850000,58235283.000000,131141.968800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-09,FB US Equity,46.770000,147296862.000000,113899.914100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-08,FB US Equity,47.140000,136081330.000000,114800.976600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-29,FB US Equity,49.395000,102143469.000000,120292.625000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-28,FB US Equity,50.229000,73472347.000000,122323.687500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-10,FB US Equity,49.050000,99773784.000000,119452.437500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-11,FB US Equity,49.110000,58428451.000000,119598.562500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-14,FB US Equity,49.510000,68780552.000000,120572.687500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-15,FB US Equity,49.500000,81166571.000000,120548.335900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-16,FB US Equity,51.135000,64678247.000000,124530.078100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-17,FB US Equity,52.210000,71521899.000000,127148.054700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-18,FB US Equity,54.220000,88260093.000000,132043.046900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-30,FB US Equity,49.010000,127072652.000000,119355.023400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-31,FB US Equity,50.205000,248809006.000000,122265.242200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-23,GS US Equity,157.740000,2735807.000000,73683.997500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-22,GS US Equity,159.250000,3240100.000000,74389.353400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-07,GS US Equity,154.250000,2622570.000000,72053.737900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,GS US Equity,156.550000,2989925.000000,73128.121100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-03,GS US Equity,156.850000,2950787.000000,73268.258000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-02,GS US Equity,158.670000,2431499.000000,74118.422000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-01,GS US Equity,159.000000,2466710.000000,74272.572600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-25,GS US Equity,162.090000,3721977.000000,75715.983000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-24,GS US Equity,159.960000,2595960.000000,74721.010800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-21,GS US Equity,159.770000,2697725.000000,74632.257400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-09,GS US Equity,154.440000,3233100.000000,72142.491300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-08,GS US Equity,153.050000,2918860.000000,71493.190200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-29,GS US Equity,162.110000,3702067.000000,75725.325500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-28,GS US Equity,161.450000,3347372.000000,75417.024200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-10,GS US Equity,158.010000,3647949.000000,73810.120800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-11,GS US Equity,160.000000,3125057.000000,74739.695700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-14,GS US Equity,159.460000,2428079.000000,74487.449300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-15,GS US Equity,157.630000,3042164.000000,73632.614000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-16,GS US Equity,162.250000,3655153.000000,75790.722700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-17,GS US Equity,158.320000,7522055.000000,73954.928900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-18,GS US Equity,158.690000,4982966.000000,74127.764500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-30,GS US Equity,162.050000,2344161.000000,75697.298100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-31,GS US Equity,160.860000,2786563.000000,75141.421600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-23,F US Equity,17.520000,45496200.000000,69022.978900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-22,F US Equity,17.600000,30226515.000000,69338.152400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-07,F US Equity,16.810000,30339569.000000,66225.814800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,F US Equity,17.090000,24997202.000000,67328.921800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-03,F US Equity,16.950000,36628838.000000,66777.368300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-02,F US Equity,17.210000,29527297.000000,67801.681900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-01,F US Equity,17.190000,41816955.000000,67722.888600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-25,F US Equity,17.600000,47515737.000000,69338.152400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-24,F US Equity,17.760000,71402545.000000,69968.499200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-21,F US Equity,17.500000,22159654.000000,68944.185600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-09,F US Equity,16.620000,50838247.000000,65477.278000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-08,F US Equity,16.500000,45491260.000000,65004.517800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-29,F US Equity,17.610000,36931547.000000,69377.549000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-28,F US Equity,17.570000,37323019.000000,69219.962300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-10,F US Equity,16.930000,46955720.000000,66698.575000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-11,F US Equity,17.110000,30814195.000000,67407.715200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-14,F US Equity,17.180000,31229631.000000,67683.491900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-15,F US Equity,16.970000,39294096.000000,66856.161700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-16,F US Equity,17.290000,33098327.000000,68116.855400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-17,F US Equity,17.460000,26889382.000000,68786.598900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-18,F US Equity,17.530000,23022146.000000,69062.375600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-30,F US Equity,17.340000,39898538.000000,68313.838700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-31,F US Equity,17.110000,38742669.000000,67407.715200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-23,YHOO US Equity,33.100000,15931696.000000,33772.630600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-22,YHOO US Equity,33.940000,17557544.000000,34629.700400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-07,YHOO US Equity,34.140000,15448721.000000,34833.764600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,YHOO US Equity,34.890000,23950214.000000,35599.005500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-03,YHOO US Equity,33.875000,23263879.000000,34563.379500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-02,YHOO US Equity,34.140000,21637424.000000,34833.764600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-01,YHOO US Equity,34.310000,28180896.000000,35007.219200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-25,YHOO US Equity,32.250000,22295863.000000,32905.357600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-24,YHOO US Equity,33.080000,15086728.000000,33752.224200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-21,YHOO US Equity,34.060000,17776670.000000,34752.138900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-09,YHOO US Equity,33.010000,33509655.000000,33680.801700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-08,YHOO US Equity,32.930000,42914643.000000,33599.176000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-29,YHOO US Equity,33.169000,29349210.000000,33843.032800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-28,YHOO US Equity,32.350000,18325684.000000,33007.389800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-10,YHOO US Equity,33.870000,23448116.000000,34558.277900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-11,YHOO US Equity,34.150000,17012313.000000,34843.967900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-14,YHOO US Equity,34.000000,17613965.000000,34690.919700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-15,YHOO US Equity,33.380000,42773930.000000,34058.320600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-16,YHOO US Equity,33.089000,44820000.000000,33761.407100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-17,YHOO US Equity,32.745000,25229702.000000,33410.416600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-18,YHOO US Equity,33.431000,24631231.000000,34110.356900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-30,YHOO US Equity,32.570000,14292323.000000,33231.860400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-31,YHOO US Equity,32.940000,15301928.000000,33609.379200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-23,AAPL US Equity,74.994300,78431122.000000,476924.590000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-22,AAPL US Equity,74.266800,133515753.000000,472298.069000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-07,AAPL US Equity,69.678600,78073107.000000,443119.416300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,AAPL US Equity,69.004300,64717380.000000,438831.310400,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-03,AAPL US Equity,69.058600,80688503.000000,439176.539300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-02,AAPL US Equity,69.937100,72295902.000000,444763.795900,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-01,AAPL US Equity,69.708600,88470655.000000,443310.200600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-25,AAPL US Equity,75.136900,84448133.000000,477831.270000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-24,AAPL US Equity,75.987100,96191095.000000,483238.644200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-21,AAPL US Equity,74.480300,99526945.000000,473655.817800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-09,AAPL US Equity,69.512600,75431216.000000,442063.742800,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-08,AAPL US Equity,68.705700,72729006.000000,436932.551600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-29,AAPL US Equity,73.811100,158952115.000000,464603.581000,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-28,AAPL US Equity,75.696600,137610123.000000,481390.761300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-10,AAPL US Equity,69.948300,69650490.000000,444834.658600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-11,AAPL US Equity,70.401700,66934938.000000,447718.228100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-14,AAPL US Equity,70.862900,65474542.000000,450650.856500,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-15,AAPL US Equity,71.240000,80018603.000000,453049.288600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-16,AAPL US Equity,71.587700,62775013.000000,455260.570300,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-17,AAPL US Equity,72.071400,63398335.000000,458336.741200,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-18,AAPL US Equity,72.698600,72635570.000000,462325.043100,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-30,AAPL US Equity,74.985100,88540697.000000,472268.864700,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-31,AAPL US Equity,74.671700,68923785.000000,470294.839600,NULL,NULL,NULL,NULL,NULL,NULL
2013-10-04,VZ 8.35 12/15/30 Corp,121.426000,40.000000,NULL,NULL,NULL,NULL,NULL,6.291000,NULL
2013-10-14,VZ 8.35 12/15/30 Corp,117.428000,36.000000,NULL,NULL,NULL,NULL,NULL,6.633000,NULL
2013-10-15,VZ 8.35 12/15/30 Corp,119.854000,72.000000,NULL,NULL,NULL,NULL,NULL,6.422000,NULL
2013-10-17,VZ 8.35 12/15/30 Corp,122.922000,80.000000,NULL,NULL,NULL,NULL,NULL,6.165000,NULL
2013-10-18,VZ 8.35 12/15/30 Corp,122.865000,34.000000,NULL,NULL,NULL,NULL,NULL,6.169000,NULL
2013-10-24,VZ 8.35 12/15/30 Corp,121.875000,2.000000,NULL,NULL,NULL,NULL,NULL,6.250000,NULL
2013-10-29,VZ 8.35 12/15/30 Corp,121.673000,2.000000,NULL,NULL,NULL,NULL,NULL,6.267000,NULL
2013-10-21,VZ 8.35 12/15/30 Corp,123.804000,12.000000,NULL,NULL,NULL,NULL,NULL,6.092000,NULL
2013-10-23,VZ 8.35 12/15/30 Corp,124.669000,2.000000,NULL,NULL,NULL,NULL,NULL,6.021000,NULL
2013-10-22,VZ 8.35 12/15/30 Corp,122.504000,4.000000,NULL,NULL,NULL,NULL,NULL,6.199000,NULL
2013-10-30,VZ 8.35 12/15/30 Corp,124.900000,84.000000,NULL,NULL,NULL,NULL,NULL,6.001000,NULL
2013-10-03,VZ 8.35 12/15/30 Corp,120.292000,20.000000,NULL,NULL,NULL,NULL,NULL,6.387000,NULL
2013-10-31,VZ 8.35 12/15/30 Corp,121.232000,75.000000,NULL,NULL,NULL,NULL,NULL,6.303000,NULL
2013-10-28,VZ 8.35 12/15/30 Corp,122.898000,150.000000,NULL,NULL,NULL,NULL,NULL,6.165000,NULL
2013-10-10,KO 8.5 02/01/22 Corp,132.371000,40.000000,NULL,NULL,NULL,NULL,NULL,3.893000,NULL
