SECURITY,TICKER,SECURITY_TYP,SECURITY_TYP2,ID_CUSIP,ID_ISIN,ID_SEDOL1,CRNCY,ISSUER,UNDERLYING_SECURITY_DES,OPT_STRIKE_PX,OPT_CONT_SIZE_REAL,OPT_EXPIRE_DT,OPT_PUT_CALL,OPT_EXER_TYP,OCC_SYMBOL,OPRA_SYMBOL,MATURITY,CPN,CPN_TYP,CPN_FREQ,DAY_CNT_DES,MARKET_SECTOR_DES
FB US Equity,FB,Common Stock,Common Stock,30303M102,US30303M1027,B7TL820,USD,Facebook Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
YHOO US 12/20/14 C50 Equity,YHOO 12 C50,Equity Option,Option,NULL,NULL,NULL,USD,NULL,YHOO US Equity,50.000000,100.000000,2014-12-20,Call,American,YHOO  141220C00050000,YHOO L2014D500000,2014-12-20,NULL,NULL,NULL,NULL,Equity
GS US Equity,GS,Common Stock,Common Stock,38141G104,US38141G1040,2407966,USD,Goldman Sachs Group Inc/The,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
F US Equity,F,Common Stock,Common Stock,345370860,US3453708600,2615468,USD,Ford Motor Co,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
TWTR 0.25 09/15/19 CORP,TWTR,PRIV PLACEMENT,NULL,90184LAA0,US90184LAA08,BQT4BH8,USD,TWITTER INC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-09-15,0.250000,FIXED,2,30/360,Corp
YHOO US Equity,YHOO,Common Stock,Common Stock,984332106,US9843321061,2986539,USD,Yahoo! Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
FOSL US 12/20/14 C100 Equity,FOSL 12 C100,Equity Option,Option,NULL,NULL,NULL,USD,NULL,FOSL US Equity,100.000000,100.000000,2014-12-20,Call,American,FOSL  141220C00100000,FOSL L2014C100000,2014-12-20,NULL,NULL,NULL,NULL,Equity
M US 12/20/14 C60 Equity,M 12 C60,Equity Option,Option,NULL,NULL,NULL,USD,NULL,M US Equity,60.000000,100.000000,2014-12-20,Call,American,M     141220C00060000,M    L2014D600000,2014-12-20,NULL,NULL,NULL,NULL,Equity
AMZN US 12/20/14 C290 Equity,AMZN 12 C290,Equity Option,Option,NULL,NULL,NULL,USD,NULL,AMZN US Equity,290.000000,100.000000,2014-12-20,Call,American,AMZN  141220C00290000,AMZN L2014C290000,2014-12-20,NULL,NULL,NULL,NULL,Equity
GOOG US 12/20/14 C580 Equity,GOOG 12 C580,Equity Option,Option,NULL,NULL,NULL,USD,NULL,GOOG US Equity,580.000000,100.000000,2014-12-20,Call,American,GOOG  141220C00580000,GOOG L2014C580000,2014-12-20,NULL,NULL,NULL,NULL,Equity
AAPL US Equity,AAPL,Common Stock,Common Stock,037833100,US0378331005,2046251,USD,Apple Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
VZ 8.35 12/15/30 Corp,VZ,US DOMESTIC,NULL,078167AZ6,US078167AZ61,2086989,USD,VERIZON PENNSYLVANIA LLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2030-12-15,8.350000,FIXED,2,30/360,Corp
KO 8.5 02/01/22 Corp,KO,US DOMESTIC,NULL,191219AP9,US191219AP96,2750938,USD,COCA-COLA REFRESH USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-02-01,8.500000,FIXED,2,30/360,Corp
AMZN US Equity,AMZN,Common Stock,Common Stock,023135106,US0231351067,2000019,USD,Amazon.com Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
BA 8.75 09/15/31 Corp,BA,US DOMESTIC,NULL,097023AE5,US097023AE52,2955465,USD,BOEING CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2031-09-15,8.750000,FIXED,2,30/360,Corp
BABA US Equity,BABA,ADR,Depositary Receipt,01609W102,US01609W1027,BP41ZD1,USD,Alibaba Group Holding Ltd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
AAL 9 09/15/16 Corp,AAL,US DOMESTIC,NULL,001765AC0,US001765AC09,2066486,USD,AMERICAN AIRLINES GROUP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016-09-15,9.000000,DEFAULTED,2,30/360,Corp
IBM US 12/20/14 C175 Equity,IBM 12 C175,Equity Option,Option,NULL,NULL,NULL,USD,NULL,IBM US Equity,175.000000,100.000000,2014-12-20,Call,American,IBM   141220C00175000,IBM  L2014C175000,2014-12-20,NULL,NULL,NULL,NULL,Equity
IBM US Equity,IBM,Common Stock,Common Stock,459200101,US4592001014,2005973,USD,IBM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
TSLA US 12/20/14 C240 Equity,TSLA 12 C240,Equity Option,Option,NULL,NULL,NULL,USD,NULL,TSLA US Equity,240.000000,100.000000,2014-12-20,Call,American,TSLA  141220C00240000,TSLA L2014C240000,2014-12-20,NULL,NULL,NULL,NULL,Equity
GOOG US Equity,GOOG,Common Stock,Common Stock,38259P706,US38259P7069,BKM4JZ7,USD,Google Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Equity
